//File Created from Spray glider sat file
//File updated on 06/26/2025 10:29
//Float ID: 25420901
//WMO ID: 25420901
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	pHinsitu[Total]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF	TALK_CANYONB[µmol/kg]	QF	DIC_CANYONB[µmol/kg]	QF	pCO2_CANYONB[µatm]	QF	SAT_AR_CANYONB[]	QF	pH25C_1atm[Total]	QF	DOWNWELL_PAR[µmol Quanta/m^2/sec]	QF	DOWN_IRRAD380[W/m^2/nm]	QF	DOWN_IRRAD443[W/m^2/nm]	QF	DOWN_IRRAD490[W/m^2/nm]	QF	VRS[Volts]	QF	VRS_STD[Volts]	QF	VK[Volts]	QF	VK_STD[Volts]	QF	IK[nA]	QF	Ib[nA]	QF	PHIN_CANYONB[Total]	QF
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	118.80	0	10.5693	0	34.6614	0	1026.594	0	117.900	0	184.28	0	67.8	0	-1e10	0	0.2682	0	-1e10	0	7.9771	0	-1e10	0	-1e10	0	2300	0	2139	0	471.4	0	1.767	0	7.7677	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.934450	0	0.000011	0	-0.992600	0	0.000008	0	33.90	0	-0.07	0	7.9124	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	112.10	0	10.6348	0	34.5731	0	1026.514	0	111.253	0	190.92	0	70.3	0	-1e10	0	0.2635	0	-1e10	0	7.9884	0	-1e10	0	-1e10	0	2296	0	2131	0	457.7	0	1.808	0	7.7792	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.933710	0	0.000010	0	-0.992600	0	0.000009	0	33.30	0	-0.07	0	7.9176	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	103.80	0	10.7550	0	34.5040	0	1026.439	0	103.017	0	199.49	0	73.6	0	-1e10	0	0.4315	0	-1e10	0	8.0053	0	-1e10	0	-1e10	0	2293	0	2120	0	438.0	0	1.875	0	7.7970	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.932630	0	0.000009	0	-0.991900	0	0.000004	0	32.30	0	-0.07	0	7.9286	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	98.50	0	10.9637	0	34.4895	0	1026.390	0	97.759	0	202.91	0	75.2	0	-1e10	0	0.2560	0	-1e10	0	8.0171	0	-1e10	0	-1e10	0	2292	0	2114	0	425.0	0	1.934	0	7.8113	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.931810	0	0.000013	0	-0.991400	0	0.000006	0	31.80	0	-0.07	0	7.9355	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	95.10	0	11.1843	0	34.5047	0	1026.362	0	94.385	0	203.39	0	75.7	0	-1e10	0	0.5830	0	-1e10	0	8.0188	0	-1e10	0	-1e10	0	2293	0	2112	0	423.7	0	1.958	0	7.8160	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.931580	0	0.000009	0	-0.991100	0	0.000009	0	32.30	0	-0.07	0	7.9394	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	90.10	0	11.0530	0	34.4620	0	1026.352	0	89.424	0	206.68	0	76.7	0	-1e10	0	0.3775	0	-1e10	0	8.0283	0	-1e10	0	-1e10	0	2291	0	2107	0	412.9	0	1.984	0	7.8232	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.931110	0	0.000011	0	-0.990700	0	0.000012	0	31.80	0	-0.07	0	7.9408	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	85.50	0	11.6230	0	34.5503	0	1026.316	0	84.859	0	206.29	0	77.5	0	-1e10	0	0.4150	0	-1e10	0	8.0308	0	-1e10	0	-1e10	0	2296	0	2106	0	411.5	0	2.043	0	7.8339	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930640	0	0.000006	0	-0.990400	0	0.000004	0	31.50	0	-0.07	0	7.9515	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	82.10	0	11.8156	0	34.5901	0	1026.311	0	81.485	0	207.99	0	78.5	0	-1e10	0	0.2570	0	-1e10	0	8.0300	0	-1e10	0	-1e10	0	2298	0	2107	0	413.0	0	2.057	0	7.8358	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930590	0	0.000011	0	-0.990200	0	0.000006	0	30.50	0	-0.06	0	7.9588	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	78.70	0	11.5870	0	34.5220	0	1026.301	0	78.111	0	211.53	0	79.4	0	-1e10	0	0.2318	0	-1e10	0	8.0296	0	-1e10	0	-1e10	0	2295	0	2106	0	413.0	0	2.035	0	7.8319	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930730	0	0.000007	0	-0.990100	0	0.000007	0	33.00	0	-0.07	0	7.9585	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	74.30	0	11.2243	0	34.4142	0	1026.284	0	73.745	0	216.62	0	80.6	0	-1e10	0	0.2365	0	-1e10	0	8.0364	0	-1e10	0	-1e10	0	2289	0	2101	0	404.9	0	2.028	0	7.8330	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930530	0	0.000011	0	-0.989500	0	0.000007	0	33.00	0	-0.07	0	7.9569	0
