//File Created from Spray glider sat file
//File updated on 02/13/2025 08:15
//Float ID: 25202901
//WMO ID: 25202901
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	pHinsitu[Total]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF	TALK_CANYONB[µmol/kg]	QF	DIC_CANYONB[µmol/kg]	QF	pCO2_CANYONB[µatm]	QF	SAT_AR_CANYONB[]	QF	pH25C_1atm[Total]	QF	DOWNWELL_PAR[µmol Quanta/m^2/sec]	QF	DOWN_IRRAD380[W/m^2/nm]	QF	DOWN_IRRAD443[W/m^2/nm]	QF	DOWN_IRRAD490[W/m^2/nm]	QF	VRS[Volts]	QF	VRS_STD[Volts]	QF	VK[Volts]	QF	VK_STD[Volts]	QF	IK[nA]	QF	Ib[nA]	QF
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	40.68	0	12.2280	0	33.2990	0	1025.230	0	40.376	0	249.13	0	94.0	0	-1e10	0	0.1426	0	-1e10	0	7.9328	0	-1e10	0	-1e10	0	2231	0	2088	0	523.7	0	1.643	0	7.7471	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321900	0	0.000000	0	0.361600	0	0.000000	0	-13.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	39.48	0	12.2440	0	33.2880	0	1025.219	0	39.185	0	249.08	0	94.0	0	-1e10	0	0.1485	0	-1e10	0	7.9343	0	-1e10	0	-1e10	0	2230	0	2087	0	521.7	0	1.649	0	7.7487	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322000	0	0.000000	0	0.361500	0	0.000000	0	-20.00	0	187.70	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	38.24	0	12.2470	0	33.2900	0	1025.220	0	37.954	0	249.12	0	94.0	0	-1e10	0	0.1465	0	-1e10	0	7.9343	0	-1e10	0	-1e10	0	2230	0	2087	0	521.8	0	1.649	0	7.7487	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322000	0	0.000000	0	0.361300	0	0.000000	0	-26.67	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	37.00	0	12.2540	0	33.2870	0	1025.216	0	36.724	0	249.16	0	94.0	0	-1e10	0	0.1475	0	-1e10	0	7.9342	0	-1e10	0	-1e10	0	2230	0	2087	0	522.0	0	1.649	0	7.7486	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322000	0	0.000000	0	0.361200	0	0.000000	0	-13.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	35.80	0	12.2540	0	33.2910	0	1025.219	0	35.533	0	249.01	0	94.0	0	-1e10	0	0.1406	0	-1e10	0	7.9342	0	-1e10	0	-1e10	0	2230	0	2087	0	522.0	0	1.650	0	7.7487	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322000	0	0.000000	0	0.361200	0	0.000000	0	-13.33	0	187.90	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	34.64	0	12.2680	0	33.2810	0	1025.209	0	34.382	0	249.18	0	94.1	0	-1e10	0	0.1416	0	-1e10	0	7.9357	0	-1e10	0	-1e10	0	2230	0	2086	0	520.0	0	1.655	0	7.7503	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322100	0	0.000000	0	0.361100	0	0.000000	0	-13.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	33.60	0	12.2690	0	33.2830	0	1025.210	0	33.349	0	249.40	0	94.1	0	-1e10	0	0.1366	0	-1e10	0	7.9358	0	-1e10	0	-1e10	0	2230	0	2086	0	520.0	0	1.656	0	7.7503	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322100	0	0.000000	0	0.361000	0	0.000000	0	-13.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	32.40	0	12.2720	0	33.2850	0	1025.211	0	32.158	0	248.99	0	94.0	0	-1e10	0	0.1396	0	-1e10	0	7.9358	0	-1e10	0	-1e10	0	2230	0	2086	0	520.1	0	1.656	0	7.7503	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322100	0	0.000000	0	0.360900	0	0.000000	0	-6.67	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	31.16	0	12.2710	0	33.2890	0	1025.214	0	30.928	0	249.28	0	94.1	0	-1e10	0	0.1366	0	-1e10	0	7.9376	0	-1e10	0	-1e10	0	2230	0	2086	0	517.8	0	1.663	0	7.7520	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322200	0	0.000000	0	0.360900	0	0.000000	0	-20.00	0	187.70	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	30.12	0	12.2860	0	33.2790	0	1025.203	0	29.896	0	249.38	0	94.2	0	-1e10	0	0.1436	0	-1e10	0	7.9373	0	-1e10	0	-1e10	0	2230	0	2085	0	518.1	0	1.663	0	7.7519	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.322200	0	0.000000	0	0.360700	0	0.000000	0	-6.67	0	187.70	0
